condition,range,layer,resid_post_final_token_norm
Factual control,8-10,0,6.019531
Factual control,8-10,1,7.234375
Factual control,8-10,2,7.875000
Factual control,8-10,3,10.437500
Factual control,8-10,4,13.562500
Factual control,8-10,5,18.234375
Factual control,8-10,6,23.234375
Factual control,8-10,7,29.687500
Factual control,8-10,8,36.468750
Factual control,8-10,9,43.843750
Factual control,8-10,10,50.937500
Factual control,8-10,11,54.656250
Factual control,8-10,12,63.031250
Factual control,8-10,13,69.750000
Factual control,8-10,14,86.375000
Factual control,8-10,15,92.875000
Factual control,8-10,16,102.312500
Factual control,8-10,17,113.750000
Factual control,8-10,18,132.625000
Factual control,8-10,19,136.125000
Factual control,8-10,20,159.125000
Factual control,8-10,21,179.750000
Factual control,8-10,22,203.125000
Factual control,8-10,23,228.125000
Factual control,8-10,24,263.750000
Factual control,8-10,25,308.250000
Factual control,8-10,26,343.250000
Factual control,8-10,27,380.250000
Factual control,8-10,28,438.750000
Factual control,8-10,29,484.750000
Factual control,8-10,30,540.000000
Factual control,8-10,31,807.000000
Factual control,20-25,0,5.445312
Factual control,20-25,1,6.281250
Factual control,20-25,2,7.539062
Factual control,20-25,3,9.421875
Factual control,20-25,4,11.867188
Factual control,20-25,5,15.281250
Factual control,20-25,6,19.968750
Factual control,20-25,7,25.859375
Factual control,20-25,8,33.218750
Factual control,20-25,9,39.437500
Factual control,20-25,10,50.000000
Factual control,20-25,11,49.906250
Factual control,20-25,12,59.531250
Factual control,20-25,13,65.812500
Factual control,20-25,14,85.562500
Factual control,20-25,15,88.312500
Factual control,20-25,16,95.562500
Factual control,20-25,17,106.187500
Factual control,20-25,18,121.687500
Factual control,20-25,19,127.187500
Factual control,20-25,20,149.750000
Factual control,20-25,21,175.000000
Factual control,20-25,22,206.875000
Factual control,20-25,23,239.875000
Factual control,20-25,24,274.750000
Factual control,20-25,25,324.000000
Factual control,20-25,26,363.500000
Factual control,20-25,27,404.750000
Factual control,20-25,28,462.750000
Factual control,20-25,29,520.500000
Factual control,20-25,30,587.500000
Factual control,20-25,31,938.000000
Factual control,30-40,0,5.195312
Factual control,30-40,1,5.820312
Factual control,30-40,2,7.402344
Factual control,30-40,3,9.281250
Factual control,30-40,4,11.617188
Factual control,30-40,5,14.890625
Factual control,30-40,6,19.328125
Factual control,30-40,7,24.890625
Factual control,30-40,8,30.390625
Factual control,30-40,9,39.968750
Factual control,30-40,10,49.250000
Factual control,30-40,11,52.781250
Factual control,30-40,12,61.781250
Factual control,30-40,13,67.250000
Factual control,30-40,14,85.625000
Factual control,30-40,15,92.000000
Factual control,30-40,16,96.750000
Factual control,30-40,17,106.750000
Factual control,30-40,18,120.750000
Factual control,30-40,19,127.000000
Factual control,30-40,20,150.125000
Factual control,30-40,21,175.750000
Factual control,30-40,22,211.500000
Factual control,30-40,23,245.250000
Factual control,30-40,24,284.500000
Factual control,30-40,25,338.000000
Factual control,30-40,26,379.750000
Factual control,30-40,27,421.750000
Factual control,30-40,28,477.500000
Factual control,30-40,29,535.500000
Factual control,30-40,30,608.500000
Factual control,30-40,31,1022.500000
Simple introspective,8-10,0,6.183594
Simple introspective,8-10,1,7.503906
Simple introspective,8-10,2,7.875000
Simple introspective,8-10,3,10.148438
Simple introspective,8-10,4,12.812500
Simple introspective,8-10,5,17.968750
Simple introspective,8-10,6,22.937500
Simple introspective,8-10,7,29.312500
Simple introspective,8-10,8,35.812500
Simple introspective,8-10,9,44.218750
Simple introspective,8-10,10,53.968750
Simple introspective,8-10,11,57.812500
Simple introspective,8-10,12,67.937500
Simple introspective,8-10,13,72.750000
Simple introspective,8-10,14,83.937500
Simple introspective,8-10,15,94.687500
Simple introspective,8-10,16,102.250000
Simple introspective,8-10,17,115.062500
Simple introspective,8-10,18,138.250000
Simple introspective,8-10,19,143.750000
Simple introspective,8-10,20,167.125000
Simple introspective,8-10,21,193.000000
Simple introspective,8-10,22,219.750000
Simple introspective,8-10,23,241.750000
Simple introspective,8-10,24,279.250000
Simple introspective,8-10,25,325.750000
Simple introspective,8-10,26,362.000000
Simple introspective,8-10,27,396.750000
Simple introspective,8-10,28,449.750000
Simple introspective,8-10,29,496.500000
Simple introspective,8-10,30,555.500000
Simple introspective,8-10,31,861.000000
Simple introspective,20-25,0,5.738281
Simple introspective,20-25,1,6.660156
Simple introspective,20-25,2,7.460938
Simple introspective,20-25,3,9.242188
Simple introspective,20-25,4,11.382812
Simple introspective,20-25,5,14.453125
Simple introspective,20-25,6,19.500000
Simple introspective,20-25,7,24.828125
Simple introspective,20-25,8,30.375000
Simple introspective,20-25,9,38.468750
Simple introspective,20-25,10,46.250000
Simple introspective,20-25,11,49.968750
Simple introspective,20-25,12,62.312500
Simple introspective,20-25,13,69.125000
Simple introspective,20-25,14,79.062500
Simple introspective,20-25,15,90.000000
Simple introspective,20-25,16,97.750000
Simple introspective,20-25,17,109.062500
Simple introspective,20-25,18,126.937500
Simple introspective,20-25,19,135.500000
Simple introspective,20-25,20,155.750000
Simple introspective,20-25,21,182.500000
Simple introspective,20-25,22,215.250000
Simple introspective,20-25,23,244.500000
Simple introspective,20-25,24,286.750000
Simple introspective,20-25,25,337.000000
Simple introspective,20-25,26,385.500000
Simple introspective,20-25,27,422.250000
Simple introspective,20-25,28,490.250000
Simple introspective,20-25,29,550.000000
Simple introspective,20-25,30,615.500000
Simple introspective,20-25,31,1014.500000
Simple introspective,30-40,0,5.359375
Simple introspective,30-40,1,6.277344
Simple introspective,30-40,2,7.281250
Simple introspective,30-40,3,8.992188
Simple introspective,30-40,4,11.492188
Simple introspective,30-40,5,14.460938
Simple introspective,30-40,6,19.421875
Simple introspective,30-40,7,24.937500
Simple introspective,30-40,8,31.078125
Simple introspective,30-40,9,38.593750
Simple introspective,30-40,10,44.500000
Simple introspective,30-40,11,48.031250
Simple introspective,30-40,12,60.593750
Simple introspective,30-40,13,67.875000
Simple introspective,30-40,14,76.625000
Simple introspective,30-40,15,86.875000
Simple introspective,30-40,16,93.062500
Simple introspective,30-40,17,106.562500
Simple introspective,30-40,18,124.125000
Simple introspective,30-40,19,132.500000
Simple introspective,30-40,20,153.375000
Simple introspective,30-40,21,183.375000
Simple introspective,30-40,22,220.625000
Simple introspective,30-40,23,250.625000
Simple introspective,30-40,24,295.750000
Simple introspective,30-40,25,354.250000
Simple introspective,30-40,26,406.250000
Simple introspective,30-40,27,445.250000
Simple introspective,30-40,28,510.750000
Simple introspective,30-40,29,578.000000
Simple introspective,30-40,30,653.000000
Simple introspective,30-40,31,1122.000000
Thin neutral persona,8-10,0,5.382812
Thin neutral persona,8-10,1,6.210938
