condition,range,layer,resid_post_final_token_norm
Collaborative framing - Opus reflective,8-10,0,6.000000
Collaborative framing - Opus reflective,8-10,1,6.910156
Collaborative framing - Opus reflective,8-10,2,7.750000
Collaborative framing - Opus reflective,8-10,3,9.992188
Collaborative framing - Opus reflective,8-10,4,12.476562
Collaborative framing - Opus reflective,8-10,5,17.203125
Collaborative framing - Opus reflective,8-10,6,22.328125
Collaborative framing - Opus reflective,8-10,7,28.843750
Collaborative framing - Opus reflective,8-10,8,35.468750
Collaborative framing - Opus reflective,8-10,9,45.906250
Collaborative framing - Opus reflective,8-10,10,53.718750
Collaborative framing - Opus reflective,8-10,11,58.406250
Collaborative framing - Opus reflective,8-10,12,68.312500
Collaborative framing - Opus reflective,8-10,13,77.062500
Collaborative framing - Opus reflective,8-10,14,87.625000
Collaborative framing - Opus reflective,8-10,15,97.062500
Collaborative framing - Opus reflective,8-10,16,105.750000
Collaborative framing - Opus reflective,8-10,17,119.437500
Collaborative framing - Opus reflective,8-10,18,138.250000
Collaborative framing - Opus reflective,8-10,19,146.250000
Collaborative framing - Opus reflective,8-10,20,166.750000
Collaborative framing - Opus reflective,8-10,21,188.500000
Collaborative framing - Opus reflective,8-10,22,218.875000
Collaborative framing - Opus reflective,8-10,23,245.500000
Collaborative framing - Opus reflective,8-10,24,280.750000
Collaborative framing - Opus reflective,8-10,25,334.500000
Collaborative framing - Opus reflective,8-10,26,373.250000
Collaborative framing - Opus reflective,8-10,27,413.750000
Collaborative framing - Opus reflective,8-10,28,465.750000
Collaborative framing - Opus reflective,8-10,29,508.750000
Collaborative framing - Opus reflective,8-10,30,570.000000
Collaborative framing - Opus reflective,8-10,31,932.000000
Collaborative framing - Opus reflective,20-25,0,8.117188
Collaborative framing - Opus reflective,20-25,1,11.101562
Collaborative framing - Opus reflective,20-25,2,7.496094
Collaborative framing - Opus reflective,20-25,3,8.789062
Collaborative framing - Opus reflective,20-25,4,10.828125
Collaborative framing - Opus reflective,20-25,5,13.648438
