condition,range,layer,resid_post_final_token_norm
Collaborative framing,8-10,0,8.515625
Collaborative framing,8-10,1,11.593750
Collaborative framing,8-10,2,7.484375
Collaborative framing,8-10,3,9.320312
Collaborative framing,8-10,4,11.593750
Collaborative framing,8-10,5,15.781250
Collaborative framing,8-10,6,20.671875
Collaborative framing,8-10,7,26.109375
Collaborative framing,8-10,8,32.156250
Collaborative framing,8-10,9,39.093750
Collaborative framing,8-10,10,48.343750
Collaborative framing,8-10,11,50.343750
Collaborative framing,8-10,12,55.937500
Collaborative framing,8-10,13,65.125000
Collaborative framing,8-10,14,71.062500
Collaborative framing,8-10,15,78.375000
Collaborative framing,8-10,16,88.687500
Collaborative framing,8-10,17,103.750000
Collaborative framing,8-10,18,126.437500
Collaborative framing,8-10,19,139.000000
Collaborative framing,8-10,20,165.625000
Collaborative framing,8-10,21,196.625000
Collaborative framing,8-10,22,225.375000
Collaborative framing,8-10,23,259.500000
Collaborative framing,8-10,24,301.000000
Collaborative framing,8-10,25,358.250000
Collaborative framing,8-10,26,415.500000
Collaborative framing,8-10,27,462.500000
Collaborative framing,8-10,28,535.500000
Collaborative framing,8-10,29,591.000000
Collaborative framing,8-10,30,675.500000
Collaborative framing,8-10,31,1281.000000
Collaborative framing,20-25,0,5.808594
Collaborative framing,20-25,1,6.746094
Collaborative framing,20-25,2,7.511719
Collaborative framing,20-25,3,9.453125
Collaborative framing,20-25,4,11.929688
Collaborative framing,20-25,5,15.476562
Collaborative framing,20-25,6,20.000000
Collaborative framing,20-25,7,25.609375
Collaborative framing,20-25,8,31.781250
Collaborative framing,20-25,9,40.593750
Collaborative framing,20-25,10,48.187500
Collaborative framing,20-25,11,50.718750
Collaborative framing,20-25,12,63.187500
Collaborative framing,20-25,13,71.937500
Collaborative framing,20-25,14,84.375000
Collaborative framing,20-25,15,92.187500
Collaborative framing,20-25,16,101.187500
Collaborative framing,20-25,17,109.312500
Collaborative framing,20-25,18,127.125000
Collaborative framing,20-25,19,134.375000
Collaborative framing,20-25,20,158.750000
Collaborative framing,20-25,21,184.125000
Collaborative framing,20-25,22,212.750000
Collaborative framing,20-25,23,244.125000
Collaborative framing,20-25,24,280.000000
Collaborative framing,20-25,25,332.250000
Collaborative framing,20-25,26,382.250000
Collaborative framing,20-25,27,427.500000
Collaborative framing,20-25,28,489.750000
Collaborative framing,20-25,29,545.000000
Collaborative framing,20-25,30,622.500000
Collaborative framing,20-25,31,1006.000000
Collaborative framing,30-40,0,5.136719
Collaborative framing,30-40,1,5.835938
Collaborative framing,30-40,2,7.472656
Collaborative framing,30-40,3,9.515625
Collaborative framing,30-40,4,11.953125
Collaborative framing,30-40,5,15.445312
Collaborative framing,30-40,6,19.953125
Collaborative framing,30-40,7,24.578125
Collaborative framing,30-40,8,29.500000
Collaborative framing,30-40,9,36.781250
Collaborative framing,30-40,10,42.906250
Collaborative framing,30-40,11,47.312500
Collaborative framing,30-40,12,58.781250
Collaborative framing,30-40,13,68.125000
Collaborative framing,30-40,14,81.937500
Collaborative framing,30-40,15,89.062500
Collaborative framing,30-40,16,96.750000
Collaborative framing,30-40,17,108.562500
Collaborative framing,30-40,18,124.937500
Collaborative framing,30-40,19,132.625000
Collaborative framing,30-40,20,156.375000
Collaborative framing,30-40,21,183.000000
Collaborative framing,30-40,22,211.000000
Collaborative framing,30-40,23,238.625000
Collaborative framing,30-40,24,272.750000
Collaborative framing,30-40,25,322.500000
Collaborative framing,30-40,26,370.750000
Collaborative framing,30-40,27,414.000000
Collaborative framing,30-40,28,477.000000
Collaborative framing,30-40,29,533.500000
Collaborative framing,30-40,30,610.000000
Collaborative framing,30-40,31,1005.500000
Transactional framing,8-10,0,7.410156
Transactional framing,8-10,1,9.796875
Transactional framing,8-10,2,7.285156
Transactional framing,8-10,3,9.265625
Transactional framing,8-10,4,11.554688
Transactional framing,8-10,5,14.992188
Transactional framing,8-10,6,20.953125
Transactional framing,8-10,7,27.312500
Transactional framing,8-10,8,32.437500
Transactional framing,8-10,9,41.281250
Transactional framing,8-10,10,49.562500
Transactional framing,8-10,11,55.500000
Transactional framing,8-10,12,64.062500
Transactional framing,8-10,13,75.500000
Transactional framing,8-10,14,81.187500
Transactional framing,8-10,15,87.687500
Transactional framing,8-10,16,97.375000
Transactional framing,8-10,17,107.812500
Transactional framing,8-10,18,126.625000
Transactional framing,8-10,19,130.125000
Transactional framing,8-10,20,153.500000
Transactional framing,8-10,21,177.000000
Transactional framing,8-10,22,200.875000
Transactional framing,8-10,23,225.000000
Transactional framing,8-10,24,255.250000
Transactional framing,8-10,25,305.500000
Transactional framing,8-10,26,350.000000
Transactional framing,8-10,27,386.250000
Transactional framing,8-10,28,445.000000
Transactional framing,8-10,29,511.000000
Transactional framing,8-10,30,581.000000
Transactional framing,8-10,31,928.000000
Transactional framing,20-25,0,5.660156
Transactional framing,20-25,1,6.558594
Transactional framing,20-25,2,7.410156
Transactional framing,20-25,3,9.265625
Transactional framing,20-25,4,11.625000
Transactional framing,20-25,5,15.406250
Transactional framing,20-25,6,20.187500
Transactional framing,20-25,7,25.453125
Transactional framing,20-25,8,31.906250
Transactional framing,20-25,9,40.906250
Transactional framing,20-25,10,49.125000
Transactional framing,20-25,11,50.750000
Transactional framing,20-25,12,62.718750
Transactional framing,20-25,13,72.687500
Transactional framing,20-25,14,83.437500
Transactional framing,20-25,15,92.375000
Transactional framing,20-25,16,101.312500
Transactional framing,20-25,17,110.062500
Transactional framing,20-25,18,124.312500
Transactional framing,20-25,19,128.000000
Transactional framing,20-25,20,148.500000
Transactional framing,20-25,21,175.125000
Transactional framing,20-25,22,203.375000
Transactional framing,20-25,23,229.500000
Transactional framing,20-25,24,264.500000
Transactional framing,20-25,25,310.000000
Transactional framing,20-25,26,354.750000
Transactional framing,20-25,27,390.750000
Transactional framing,20-25,28,446.500000
Transactional framing,20-25,29,511.500000
Transactional framing,20-25,30,587.500000
Transactional framing,20-25,31,924.500000
Transactional framing,30-40,0,5.253906
Transactional framing,30-40,1,5.980469
Transactional framing,30-40,2,7.488281
